Name,Company Size,Compliance Complexity,Country,Date,Fintech Category,Founder/Leadership,Lead Quality,Recent Activity,Regulatory Exposure,Urgency,Website,Why Regula Is Relevant
Akhtar Fuiou Technologies (AFT),SMB,High - Commercially operating EMI with payment processing infrastructure,Pakistan,"December 15, 2025",EMI / Payments,Unknown,High,Operating as one of five commercial EMIs in Pakistan,"Licensed EMI by SBP, operating commercially, subject to full EMI regulatory framework",Medium,N/A,Established EMI managing ongoing compliance with SBP's evolving digital payment regulations
NayaPay,SMB,"High - EMI license, biometric verification at Meezan Bank branches/ATMs, integration with 60+ remittance partners via Raast ID, trust account management",Pakistan,"December 15, 2025",Neobank / EMI,Backed by Lakson Group sponsors,High,"Received SBP commercial approval in 2024 after year-long pilot, raised $13M seed funding, backed by Lakson Group","First licensed EMI in Pakistan by SBP (Sep 2021), Visa-backed, operates under EMI regulations, PCI DSS and ISO 27001 certified, biometric KYC",High Urgency,https://nayapay.com,Pioneer EMI with biometric onboarding across multiple bank touchpoints and 60+ remittance integrations requiring continuous KYC/AML monitoring
Finja,SMB,"High - EMI operations for professionals/merchants/SMEs, acquired by Opay International in Oct 2023",Pakistan,"December 15, 2025",EMI / Payments,New age financial services platform,High,"Acquired by Opay International (Oct 2023), expanding financial services for SME segment","Licensed EMI by SBP (Sep 2021), first fintech to receive in-principle approval (Apr 2020), subject to SBP's strict EMI regulations",High Urgency,https://finja.pk,Post-acquisition EMI targeting SMEs with complex merchant onboarding and payment processing compliance requirements
Wemsol,Startup,"High - Newly licensed EMI in pilot-to-commercial transition, subject to ongoing SBP oversight",Pakistan,"December 15, 2025",EMI / Digital Payments,Unknown,High,"Granted EMI license by SBP in February 2025, moving from pilot to commercial operations","Licensed EMI by SBP (Feb 2025), operates under full EMI regulatory framework including capital requirements and AML/CFT",High Urgency,N/A,Brand new EMI license holder (Feb 2025) establishing compliance infrastructure and onboarding systems under fresh regulatory scrutiny
HubPay,Startup,"Medium - Currently in pilot phase, building compliance infrastructure",Pakistan,"December 15, 2025",EMI / Payments,Unknown,High,Currently in pilot operations awaiting commercial license approval,"In pilot operations with SBP, pursuing full EMI license, subject to regulatory testing and compliance validation",Medium,N/A,Pilot-stage EMI building KYC/AML systems and preparing for SBP commercial license inspection
Toko Lab,Startup,"Medium - Early stage, building compliance framework",Pakistan,"December 15, 2025",EMI / Fintech,Unknown,Medium,"Received in-principle approval for EMI license, in development phase","In-principle approval from SBP, developing organizational and technological readiness for EMI operations",Medium,N/A,Early-stage EMI applicant designing compliance architecture from scratch for SBP requirements
YAP Pakistan,Startup,"Medium - Pre-pilot stage, building organizational readiness and tech infrastructure",Pakistan,"December 15, 2025",EMI / Digital Banking,Unknown,Medium,"Received in-principle approval, building tech and compliance infrastructure","In-principle approval from SBP, developing infrastructure for EMI license, must meet capital and governance requirements",Medium,N/A,Pre-launch EMI establishing foundational compliance systems and preparing for regulatory sandbox entry
JazzCash,Large Enterprise,"High - Microfinance bank license, massive transaction volume (2.7B transactions), extensive agent network",Pakistan,"December 15, 2025",Mobile Wallet / Microfinance,Part of Jazz/Mobilink group,Low,Ongoing operations with 19.7M monthly active users,"Operated by Mobilink Microfinance Bank, licensed by SBP, 48M users, processes ~9% of Pakistan GDP, AML/KYC compliance",Low,https://jazzcash.com.pk,"Large-scale operation with established compliance infrastructure, less likely to need external solutions"
E-Processing Systems Private Limited (EPSPL),SMB,"High - Multi-stakeholder wallet provider (consumers, merchants, agents) with complex KYC requirements",Pakistan,"December 15, 2025",EMI / E-Wallets,Unknown,High,"Granted commercial EMI license November 2024, fifth active EMI in Pakistan","Licensed EMI by SBP (Nov 2024), providing e-money wallets to consumers/merchants/agents, full EMI compliance framework",High Urgency,N/A,Recently licensed EMI (Nov 2024) scaling multi-party wallet operations with merchant and agent onboarding requirements
SadaPay,SMB,"High - EMI license, cross-border remittances, KYC/AML requirements, interoperable rails with Raast payment system",Pakistan,"December 15, 2025",Neobank / EMI,"CEO: Brandon Timinsky, COO: Omer Salimullah",High,"Acquired by Papara (Turkish fintech) for $50M in Feb 2024, expanding international remittance features","Licensed EMI by State Bank of Pakistan (SBP), Mastercard-enabled, operates under EMI regulations requiring Rs200M capital, AML/KYC compliance, Fit & Proper Test for management",High Urgency,https://sadapay.pk,Recently acquired EMI navigating complex cross-border compliance with Mastercard integration and international remittances requiring robust identity verification
