Name,Date,Website,Country,Fintech Category,Regulatory Exposure,Lead Quality,Urgency,Company Size,Recent Activity,Founder/Leadership,Compliance Complexity,Why Regula Is Relevant
Akhtar Fuiou Technologies (AFT),"December 15, 2025",N/A,Pakistan,EMI / Payments,"Licensed EMI by SBP, operating commercially, subject to full EMI regulatory framework",High,Medium,SMB,Operating as one of five commercial EMIs in Pakistan,Unknown,High - Commercially operating EMI with payment processing infrastructure,Established EMI managing ongoing compliance with SBP's evolving digital payment regulations
NayaPay,"December 15, 2025",https://nayapay.com,Pakistan,Neobank / EMI,"First licensed EMI in Pakistan by SBP (Sep 2021), Visa-backed, operates under EMI regulations, PCI DSS and ISO 27001 certified, biometric KYC",High,High Urgency,SMB,"Received SBP commercial approval in 2024 after year-long pilot, raised $13M seed funding, backed by Lakson Group",Backed by Lakson Group sponsors,"High - EMI license, biometric verification at Meezan Bank branches/ATMs, integration with 60+ remittance partners via Raast ID, trust account management",Pioneer EMI with biometric onboarding across multiple bank touchpoints and 60+ remittance integrations requiring continuous KYC/AML monitoring
Finja,"December 15, 2025",https://finja.pk,Pakistan,EMI / Payments,"Licensed EMI by SBP (Sep 2021), first fintech to receive in-principle approval (Apr 2020), subject to SBP's strict EMI regulations",High,High Urgency,SMB,"Acquired by Opay International (Oct 2023), expanding financial services for SME segment",New age financial services platform,"High - EMI operations for professionals/merchants/SMEs, acquired by Opay International in Oct 2023",Post-acquisition EMI targeting SMEs with complex merchant onboarding and payment processing compliance requirements
Wemsol,"December 15, 2025",N/A,Pakistan,EMI / Digital Payments,"Licensed EMI by SBP (Feb 2025), operates under full EMI regulatory framework including capital requirements and AML/CFT",High,High Urgency,Startup,"Granted EMI license by SBP in February 2025, moving from pilot to commercial operations",Unknown,"High - Newly licensed EMI in pilot-to-commercial transition, subject to ongoing SBP oversight",Brand new EMI license holder (Feb 2025) establishing compliance infrastructure and onboarding systems under fresh regulatory scrutiny
HubPay,"December 15, 2025",N/A,Pakistan,EMI / Payments,"In pilot operations with SBP, pursuing full EMI license, subject to regulatory testing and compliance validation",High,Medium,Startup,Currently in pilot operations awaiting commercial license approval,Unknown,"Medium - Currently in pilot phase, building compliance infrastructure",Pilot-stage EMI building KYC/AML systems and preparing for SBP commercial license inspection
Toko Lab,"December 15, 2025",N/A,Pakistan,EMI / Fintech,"In-principle approval from SBP, developing organizational and technological readiness for EMI operations",Medium,Medium,Startup,"Received in-principle approval for EMI license, in development phase",Unknown,"Medium - Early stage, building compliance framework",Early-stage EMI applicant designing compliance architecture from scratch for SBP requirements
YAP Pakistan,"December 15, 2025",N/A,Pakistan,EMI / Digital Banking,"In-principle approval from SBP, developing infrastructure for EMI license, must meet capital and governance requirements",Medium,Medium,Startup,"Received in-principle approval, building tech and compliance infrastructure",Unknown,"Medium - Pre-pilot stage, building organizational readiness and tech infrastructure",Pre-launch EMI establishing foundational compliance systems and preparing for regulatory sandbox entry
JazzCash,"December 15, 2025",https://jazzcash.com.pk,Pakistan,Mobile Wallet / Microfinance,"Operated by Mobilink Microfinance Bank, licensed by SBP, 48M users, processes ~9% of Pakistan GDP, AML/KYC compliance",Low,Low,Large Enterprise,Ongoing operations with 19.7M monthly active users,Part of Jazz/Mobilink group,"High - Microfinance bank license, massive transaction volume (2.7B transactions), extensive agent network","Large-scale operation with established compliance infrastructure, less likely to need external solutions"
E-Processing Systems Private Limited (EPSPL),"December 15, 2025",N/A,Pakistan,EMI / E-Wallets,"Licensed EMI by SBP (Nov 2024), providing e-money wallets to consumers/merchants/agents, full EMI compliance framework",High,High Urgency,SMB,"Granted commercial EMI license November 2024, fifth active EMI in Pakistan",Unknown,"High - Multi-stakeholder wallet provider (consumers, merchants, agents) with complex KYC requirements",Recently licensed EMI (Nov 2024) scaling multi-party wallet operations with merchant and agent onboarding requirements
SadaPay,"December 15, 2025",https://sadapay.pk,Pakistan,Neobank / EMI,"Licensed EMI by State Bank of Pakistan (SBP), Mastercard-enabled, operates under EMI regulations requiring Rs200M capital, AML/KYC compliance, Fit & Proper Test for management",High,High Urgency,SMB,"Acquired by Papara (Turkish fintech) for $50M in Feb 2024, expanding international remittance features","CEO: Brandon Timinsky, COO: Omer Salimullah","High - EMI license, cross-border remittances, KYC/AML requirements, interoperable rails with Raast payment system",Recently acquired EMI navigating complex cross-border compliance with Mastercard integration and international remittances requiring robust identity verification
